IFRS_MONTH,NAMA_PRODUK,Liabilitas Kontrak Asuransi (Saldo Awal),Aset Kontrak Asuransi (Saldo Awal),Saldo Bersih Kontrak Asuransi (Saldo Awal),Pendapatan Jasa Asuransi,Ekspektasi Klaim & Beban Attributable (Estimasi),Ekspektasi Klaim,Ekspektasi Komisi,Ekspektasi Beban Attributable,Perubahan pada Penyesuaian Risiko (RA),Perubahan pada CSM (Amortisasi),Pendapatan Jasa Asuransi Lainnya,Beban Jasa Asuransi,Beban Klaim & Biaya Attributable,Amortisasi Arus Kas Akuisisi (Beban),Kerugian dari Kontrak Merugi (Onerous),Beban Jasa Asuransi Lainnya,Hasil Jasa Asuransi Kotor,Penerimaan Premi,Arus Kas Akuisisi Asuransi,Beban Klaim & Beban Jasa Asuransi Dibayarkan,Arus Kas Bersih,Pendapatan (Beban) Keuangan Kontrak Asuransi (P&L),Pendapatan (Beban) Keuangan Kontrak Asuransi (OCI),Alokasi Aset untuk Arus Kas Akuisisi,Komponen Investasi,Perubahan Lainnya,Total Perubahan,Liabilitas Kontrak Asuransi (Saldo Akhir),Aset Kontrak Asuransi (Saldo Akhir),Saldo Bersih Kontrak Asuransi (Saldo Akhir)
2024-11-01,RELIFE,4951535386.097489,29333496.820972808,4922201889.276517,83402651.67016293,75825487.32515119,72910172.36302453,53843.875033771415,2861471.0870928983,7577164.345011744,5.312825848518586e-13,0,9349429.72663689,2864952.3192168265,53843.875033771415,6430633.532386293,0,-74053221.94352604,0.0,0.0,0,0.0,-76972018.13777664,0,53843.875033771415,30115453.220788945,0.0,-46802721.041953936,4904678821.180502,29279652.945939038,4875399168.234563
2024-12-01,RELIFE,4904678821.180503,29279652.945939038,4875399168.234564,41211294.772757664,37469708.32751004,34299422.538710095,53843.875033771415,3116441.913766168,3741586.445247627,5.312825848506962e-13,0,8129088.031514019,3120209.0228812504,53843.875033771415,4955035.133598997,0,-33082206.741243646,4174800.0,0.0,0,4174800.0,-32081459.639158666,0,53843.875033771415,23740388.754285265,0.0,-8287227.009839632,4896337750.2956295,29225809.07090527,4867111941.224724
2023-12-01,RPUL,103846883.33353946,69211721.97844078,34635161.35509867,3795887.4996041846,3467770.9334681174,1583034.4249473712,186605.2721074436,1698131.2364133026,328116.5661360674,-0.0,0,4984768.491302619,1994879.3255990695,186605.2721074436,2803283.8935961053,0,1188880.991698434,1879641.7421902565,-4241666.666666667,0,6121308.408856924,887038.1361821771,0,-4055061.394559223,-320949.1856216229,-2.3283064365386963e-10,-3488972.4439986693,104412972.2841,73266783.373,31146188.9111
2024-01-01,RPUL,104412972.2841,73266783.373,31146188.9111,3795890.5355246635,3468031.4293419747,1581711.6029914697,189440.36751508457,1696879.4588354204,327859.10618268896,-0.0,0,2260326.750356705,1995075.9339766402,189440.36751508457,75810.44886498037,0,-1535563.7851679586,1865162.3797973725,-4241666.666666667,0,6106829.046464039,-1854917.7068623104,0,-4052226.2991515826,840264.1053565345,0.0,-5066879.900657358,103398318.68259422,77319009.67215158,26079309.010442644
2024-02-01,RPUL,103398318.68259422,77319009.67215158,26079309.010442644,3768645.928429364,3443553.319419643,1568284.7930286329,192627.22932243074,1682641.2970685791,325092.6090097212,-0.0,0,3236313.9450256373,1995273.112518506,192627.22932243074,1048413.6031847004,0,-532331.983403727,1853470.1813319465,-4241666.666666666,0,6095136.847998613,-866762.1439127172,0,-4049039.4373442354,-565705.069456374,0.0,-5481506.650713326,101965851.46922514,81368049.10949582,20597802.359729316
2024-03-01,RPUL,101965851.46922514,81368049.10949582,20597802.359729316,3700138.0131048495,3381594.0120015116,1536614.7170023806,196154.0009681339,1648825.2940309972,318544.00110333774,-0.0,0,4697776.840014452,1995470.8628781429,196154.0009681339,2506151.9761681757,0,997638.8269096026,1840904.971086063,-4241666.666666666,0,6082571.637752729,646918.9341493892,0,-4045512.665698532,79735.44126707158,2.3283064365386963e-10,-3318858.2902820706,102692505.8446416,85413561.77519435,17278944.069447245
2024-04-01,RPUL,102692505.8446416,85413561.77519435,17278944.069447245,3732857.555452997,3411689.522956902,1549193.0055308163,200009.19799595524,1662487.3194301305,321168.03249609476,-0.0,0,1159702.5738128037,1995669.1867138227,200009.19799595524,-1035975.8108969739,0,-2573154.981640193,1824686.3861678005,-4241666.666666667,0,6066353.052834468,-2944146.9801821704,0,-4041657.468670712,2681884.4422299084,-2.3283064365386963e-10,-4303920.006622974,102430243.30668932,89455219.24386506,12975024.062824272
2024-05-01,RPUL,102430243.30668932,89455219.24386506,12975024.062824272,3768957.386412872,3448318.386022242,1554111.3514365293,241928.38211594085,1652278.652469772,320639.00039063016,-0.0,0,2981729.538747194,1995868.0856886262,241928.38211594085,743933.0709426275,0,-787227.8476656778,1844721.6902221995,-10005000.0,0,11849721.6902222,-1180302.6252480452,0,-9763071.617884059,1987753.770245165,8865446.301592756,-90174.17129418254,112103140.75327921,99218290.86174911,12884849.89153009
2024-06-01,RPUL,112103140.75327921,99218290.86174911,12884849.89153009,3828773.11058165,3504278.0333332457,1567926.2675372532,339040.2940305388,1597311.4717654535,316523.7739302707,7971.303318133488,0,11046729.871005373,2056900.8948037897,339040.2940305388,8650788.682171045,0,7217956.760423724,2089805.0559675675,-34125000.0,0,36214805.05596757,6911820.627556963,0,-33785959.70596946,-264558.12497278315,47613776.13812306,20475078.93473778,166364179.39398646,133004250.56771858,33359928.82626787
2024-07-01,RPUL,166364179.39398646,133004250.56771858,33359928.826267872,3703406.781199571,3381271.89218121,1564677.567454516,237327.91540006298,1579266.4093266313,314394.39767811476,7740.4913402461,0,3590606.992941144,2057120.2823987207,237327.91540006298,1296158.7951423598,0,-112799.78825842729,2104381.31795133,-4573333.333333332,0,6677714.651284662,-302866.66810588166,0,-4336005.417933269,-323162.0050522652,5910297.5343951695,948263.4433037536,171648448.25522348,137340255.98565185,34308192.269571625
