IFRS_MONTH,KEY,Liabilitas Kontrak Asuransi (Saldo Awal),Aset Kontrak Asuransi (Saldo Awal),Saldo Bersih Kontrak Asuransi (Saldo Awal),Pendapatan Jasa Asuransi,Ekspektasi Klaim & Beban Attributable (Estimasi),Ekspektasi Klaim,Ekspektasi Komisi,Ekspektasi Beban Attributable,Perubahan pada Penyesuaian Risiko (RA),Perubahan pada CSM (Amortisasi),Pendapatan Jasa Asuransi Lainnya,Beban Jasa Asuransi,Beban Klaim & Biaya Attributable,Amortisasi Arus Kas Akuisisi (Beban),Kerugian dari Kontrak Merugi (Onerous),Beban Jasa Asuransi Lainnya,Hasil Jasa Asuransi Kotor,Penerimaan Premi,Arus Kas Akuisisi Asuransi,Beban Klaim & Beban Jasa Asuransi Dibayarkan,Arus Kas Bersih,Pendapatan (Beban) Keuangan Kontrak Asuransi (P&L),Pendapatan (Beban) Keuangan Kontrak Asuransi (OCI),Alokasi Aset untuk Arus Kas Akuisisi,Komponen Investasi,Perubahan Lainnya,Total Perubahan,Liabilitas Kontrak Asuransi (Saldo Akhir),Aset Kontrak Asuransi (Saldo Akhir),Saldo Bersih Kontrak Asuransi (Saldo Akhir),NAMA_PRODUK
2024-07-01,ASURANSI STAR PREMIUM DOLLAR_2021,-1759471258.3543262,686909013.6902695,-2446380272.0445957,270684454.12490237,256615758.63899976,19656980.763904575,154462436.2375032,82496341.63759199,10215332.240149656,3853363.2457529465,0,236958777.8750952,82496341.63759199,154462436.2375032,0.0,0,-33725676.24980718,149328339.57434323,-95961738.14017877,0,245290077.714522,-121356114.55055913,0,58500698.09732443,-49547518.78389638,-30394249.260950387,-142797184.49808148,-1960769140.9497323,628408315.5929451,-2589177456.5426774,SPUL
2024-08-01,ASURANSI STAR PREMIUM DOLLAR_2021,-1960769140.9497318,628408315.592945,-2589177456.542677,266446200.29912972,251723035.17288542,19823210.21873507,149723023.50184354,82176801.4523068,10200001.167104188,4523163.959140107,0,231899824.95415035,82176801.4523068,149723023.50184354,0.0,0,-34546375.344979376,223905546.61012614,-127741502.88081665,0,351647049.4909428,-42540653.68900359,0,21981520.62102689,-41046063.41058728,-5369581.010065734,-66974777.48862971,-2049725439.0593886,606426794.9719181,-2656152234.0313067,SPUL
2024-09-01,ASURANSI STAR PREMIUM DOLLAR_2021,-2049725439.0593886,606426794.9719182,-2656152234.0313067,262319304.01879385,248593940.29765958,20064929.7527001,147329227.34157658,81199783.20338291,10126471.295608303,3598892.425525977,0,228529010.5449595,81199783.20338291,147329227.34157658,0.0,0,-33790293.473834366,405568853.58579326,-152342203.82819226,0,557911057.4139855,143249549.5669994,0,-5012976.486615688,-34989030.668423176,-169139570.25771663,-65892027.845756084,-2110604490.418529,611439771.4585339,-2722044261.877063,SPUL
2024-10-01,ASURANSI STAR PREMIUM DOLLAR_2021,-2110604490.4185295,611439771.4585338,-2722044261.8770633,253804476.8933491,237954948.19293663,20320934.062290825,153496036.88113242,64137977.24951339,8445891.131180422,7403637.569232044,0,217634014.1306458,64137977.24951339,153496036.88113242,0.0,0,-36170462.7627033,258913979.60600153,-335667025.3616357,0,594581004.9676372,5109502.712652415,0,-182170988.48050326,38647861.04297805,43475058.038930446,-94938566.68594235,-2023372068.6239684,793610759.9390371,-2816982828.5630054,SPUL
2024-11-01,ASURANSI STAR PREMIUM DOLLAR_2021,-2023372068.6239676,793610759.9390372,-2816982828.563005,262646240.45569226,246273772.4218871,20624324.38974188,146882390.22479805,78767057.8073472,9939138.219708908,6433329.814096237,0,225649448.03214526,78767057.8073472,146882390.22479805,0.0,0,-36996792.423547,127565597.34673989,-159118618.72163892,0,286684216.0683788,-135080643.10895237,0,-12236228.496840864,-47394946.051989265,-137857984.42980137,-332569802.0875839,-2343705642.214711,805846988.435878,-3149552630.650589,SPUL
2024-12-01,ASURANSI STAR PREMIUM DOLLAR_2021,-2343705642.214711,805846988.435878,-3149552630.6505895,254389998.4613099,239809781.5056583,20794184.165462255,141452862.70929965,77562734.63089639,9835691.879635867,4744525.076015731,0,219015597.34019604,77562734.63089639,141452862.70929965,0.0,0,-35374401.12111387,105194294.0249186,-171520094.82243177,0,276714388.84735036,-149195704.4363913,0,-30067232.11313212,-42158168.802906774,382309124.2430813,160888018.89065108,-2152750391.210928,835914220.5490102,-2988664611.7599382,SPUL
2023-12-01,ASURANSI STAR PREMIUM DOLLAR_2022,-4928374006.470345,2766586006.9092517,-7694960013.379596,1367514197.0970263,1276410704.768959,41866890.24043968,950726000.1944705,283817814.3340488,32568470.457448855,58535021.87061838,0,1234543814.5285194,283817814.3340488,950726000.1944705,0.0,0,-132970382.56850696,1131652349.1260178,-1008812814.4142854,0,2140465163.5403032,-235861847.97100854,0,-58086814.2198149,-85181664.23482251,706304342.9782612,327174016.5526153,-4543113175.697914,2824672821.1290665,-7367785996.826981,SPUL
2024-01-01,ASURANSI STAR PREMIUM DOLLAR_2022,-4543113175.697914,2824672821.1290665,-7367785996.826981,982033320.7198212,929415992.5859251,42130015.63618822,601915593.3940343,285370383.5557025,32750039.919189073,19867288.214706995,0,887285976.9497368,285370383.5557025,601915593.3940343,0.0,0,-94747343.77008438,315666980.63306254,-408895237.6252481,0,724562218.2583106,-666366340.0867586,0,193020355.7687862,-94744264.31279735,567559777.6890016,-530470.9417681694,-4736664002.408469,2631652465.36028,-7368316467.768749,SPUL
2024-02-01,ASURANSI STAR PREMIUM DOLLAR_2022,-4736664002.408468,2631652465.3602805,-7368316467.768748,967167325.9095844,920730035.18277,42263155.48362449,595418725.3952186,283048154.30392694,32531130.978755146,13906159.748059317,0,878466879.6991456,283048154.30392694,595418725.3952186,0.0,0,-88700446.21043885,335836508.27805656,-320779705.35515815,0,656616213.6332147,-631330817.6315279,0,274639020.04006046,-96807463.83821078,461732830.51484746,8233569.085169256,-5003069453.363359,2357013445.32022,-7360082898.683579,SPUL
2024-03-01,ASURANSI STAR PREMIUM DOLLAR_2022,-5003069453.363359,2357013445.32022,-7360082898.683579,945789748.5913904,913511601.2387071,42555000.184533,593005398.455503,277951202.59867114,32050620.278320417,227527.07436291833,0,870956601.0541742,277951202.59867114,593005398.455503,0.0,0,-74833147.53721619,573259522.9567838,-400544420.77668536,0,973803943.7334691,-372530225.6346066,0,192460977.67881763,-90606994.14285107,46448250.42039895,-224227991.67824107,-5419758422.720418,2164552467.6414022,-7584310890.36182,SPUL
