IFRS_MONTH,NAMA_PRODUK,Kontrak_Baru_Periode_Berjalan,Accretion_Interest_unwind,Efek_Perubahan_Varians_n_Asumsi_Ekonomi,Amortisasi_CSM_Release,Contractual Service Margin
2024-06-01,SPUL,-378381728.15971076,517182286.97017676,7002353025.033202,-474180215.7632566,41970539034.12128
2024-07-01,SPUL,308085782.6763198,478487329.43403924,2058789251.3419673,-489068015.30609775,44326833382.26751
2024-08-01,SPUL,-4577123269.319284,414530531.7932017,8387379047.790417,-525414840.59813917,48026204851.9337
2024-09-01,SPUL,-921697994.3999679,1151775592.3063505,11651098179.940819,-607478603.9538369,59299902025.82707
2024-10-01,SPUL,-1019928911.7077616,3228687142.079825,24180485473.687176,-776376536.0080947,84912769193.8782
2024-11-01,SPUL,-2047646486.6055293,-352387436.88195586,-20902935585.69981,-544193331.2868431,61065606353.404076
2024-12-01,SPUL,-744810437.0600464,-595804948.4050478,-495418844.9724811,-506794151.2285103,58722777971.73799
2024-01-01,SPUL_NEW,57151611.825879656,56776.82926346586,-74675.14247691387,-1581251.6005563422,55552461.91210986
2024-02-01,SPUL_NEW,445839437.9700839,238988.21881692382,-124916.34286763784,-12659398.32913871,488846573.4290044
2024-03-01,SPUL_NEW,741064667.2385406,5960031.5941049345,-1336510.4138390655,-31446694.022612408,1203088067.8251984
2024-04-01,SPUL_NEW,366976400.9276009,5345720.872241335,-3277645.7257256084,-39773783.726115406,1532358760.1731997
2024-05-01,SPUL_NEW,1648422365.562303,3796817.527765612,10536.120154296006,-79160912.21425548,3105427567.169167
2024-06-01,SPUL_NEW,3580849842.019623,-2392697.725461111,-5029159.508352626,-165192654.56299374,6513662897.391983
2024-07-01,SPUL_NEW,2561345653.42976,59303428.25777766,-14170944.929035993,-228887870.98559406,8891253163.16489
2024-08-01,SPUL_NEW,1974788183.8105116,112880566.79701327,-27024965.968205262,-276742288.44362044,10675154659.36059
2024-09-01,SPUL_NEW,5178152167.371632,124568966.98281474,-48585572.02217758,-413754649.58410186,15515535572.108757
2024-10-01,SPUL_NEW,11745058992.651424,23008636.77236351,-36815918.67663487,-708033936.1151388,26538753346.74077
2024-11-01,SPUL_NEW,3850821990.6725717,-14115054.696950419,-6539348.105912318,-794591636.4004233,29574329298.210052
2024-12-01,SPUL_NEW,11554512711.118876,-2894051.4933207138,-43763548.24186384,-1067573597.2656652,40014610812.32808
2023-12-01,STAR PROTECTION SECURE PLAN,16718989.772415241,29219771.58038894,-29094295.64933431,-704550.3823838489,82066147.92390001
2024-01-01,STAR PROTECTION SECURE PLAN,10195043.907469371,31842128.3152817,-31666925.974808935,-791007.3069627191,91645386.86487943
2024-02-01,STAR PROTECTION SECURE PLAN,0.0,31512469.929109342,-31332764.500671923,-792557.1282665478,91032535.1650503
2024-03-01,STAR PROTECTION SECURE PLAN,4336988.754488912,32311800.516569994,-32112733.709453046,-830788.796592105,94737801.93006405
2024-04-01,STAR PROTECTION SECURE PLAN,0.0,34127750.34575476,-33910201.44997317,-832693.7760285651,94122657.04981707
2024-05-01,STAR PROTECTION SECURE PLAN,0.0,36065269.02181318,-35828289.67834119,-834787.7137782313,93524848.67951083
2024-06-01,STAR PROTECTION SECURE PLAN,0.0,1740630.66743169,-1419195.6829920367,-837654.5858058084,93008629.07814467
2024-07-01,STAR PROTECTION SECURE PLAN,0.0,4089181.378755252,-3821886.6978266328,-840039.9194499908,92435883.8396233
2024-08-01,STAR PROTECTION SECURE PLAN,35416619.18722917,5341113.61531518,-5080967.739391167,-1141717.2380642574,126970931.66471224
2024-09-01,STAR PROTECTION SECURE PLAN,14187072.995616442,3613292.2434490384,-3849926.3782334235,-1258621.2532095644,139662749.27233472
2024-10-01,STAR PROTECTION SECURE PLAN,3848810.1923536113,1702174.211940597,-2158051.0648956294,-1286340.9121961512,141769341.69953716
2024-11-01,STAR PROTECTION SECURE PLAN,3220538.133401757,3161008.914087533,-21406007.373744514,14576860.334862867,141321741.70814478
2024-12-01,STAR PROTECTION SECURE PLAN,2564951.2417870644,5320246.604217266,-6844938.084528706,-1299714.8279390316,141062286.64168137
