IFRS_MONTH,NAMA_PRODUK,Liabilitas Kontrak Asuransi (Saldo Awal),Aset Kontrak Asuransi (Saldo Awal),Saldo Bersih Kontrak Asuransi (Saldo Awal),Pendapatan Jasa Asuransi,Ekspektasi Klaim & Beban Attributable (Estimasi),Perubahan pada Penyesuaian Risiko (RA),Perubahan pada CSM (Amortisasi),Pendapatan Jasa Asuransi Lainnya,Beban Jasa Asuransi,Beban Klaim & Biaya Attributable,Amortisasi Arus Kas Akuisisi (Beban),Kerugian dari Kontrak Merugi (Onerous),Beban Jasa Asuransi Lainnya,Hasil Jasa Asuransi Kotor,Penerimaan Premi,Arus Kas Akuisisi Asuransi,Beban Klaim & Beban Jasa Asuransi Dibayarkan,Arus Kas Bersih,Pendapatan (Beban) Keuangan Kontrak Asuransi (P&L),Pendapatan (Beban) Keuangan Kontrak Asuransi (OCI),Alokasi Aset untuk Arus Kas Akuisisi,Komponen Investasi,Perubahan Lainnya,Total Perubahan,Liabilitas Kontrak Asuransi (Saldo Akhir),Aset Kontrak Asuransi (Saldo Akhir),Saldo Bersih Kontrak Asuransi (Saldo Akhir)
2023-12-01,RELIFE,6208656419.059469,30500325.359218683,6178156093.700251,114678219.63008606,116641961.4031066,11650841.819720086,-13614583.592740623,0,42500203.87066196,4874588.046634885,133543.20590568508,37492072.618121386,0,-72178015.7594241,4174800.0,0.0,0,4174800.0,-73011347.01196468,0,133543.20590568508,49756518.496377654,0.0,-23121285.309681334,6185401590.543882,30366782.153313,6155034808.39057
2024-01-01,RELIFE,6185401590.543882,30366782.153313,6155034808.39057,97268948.2076017,89273111.29890288,7995836.908698818,7.504504881431934e-13,0,-520772555.99028695,5608856.169878568,116964.42986401905,-526498376.59002954,0,-618041504.1978886,0.0,0.0,0,0.0,-623767324.7976313,0,116964.42986401905,46455930.82549085,0.0,-577194429.5422764,5608090196.571742,30249817.72344898,5577840378.848293
2024-02-01,RELIFE,5608090196.571742,30249817.72344898,5577840378.848293,23547212.662768565,21411604.15864088,2135608.5041276864,7.504504881426237e-13,0,15739705.348762244,2755745.916057049,55519.117364019054,12928440.315341176,0,-7807507.314006321,0.0,0.0,0,0.0,-10618772.347427389,0,55519.117364019054,41304728.95810136,0.0,30741475.72803799,5638776153.182416,30194298.60608496,5608581854.576331
2024-03-01,RELIFE,5638776153.182417,30194298.60608496,5608581854.576332,137880786.65912557,125351216.88260178,12529569.77652378,7.504504881420578e-13,0,15849455.52778209,2874540.9463506555,55519.117364019054,12919395.464067416,0,-122031331.13134348,1649700.0,0.0,0,1649700.0,-123311691.19505815,0,55519.117364019054,37302996.05084862,0.0,-85953176.02684551,5552767458.038207,30138779.488720942,5522628678.549486
2024-04-01,RELIFE,5552767458.038207,30138779.488720942,5522628678.549486,109177320.62033156,99266530.6568225,9910789.963509046,1.1607495773227114e-10,0,27366521.51628441,12921482.976351803,192621.1074137697,14252417.432518836,0,-81810799.10404715,632800.0,0.0,0,632800.0,-94292103.18781272,0,192621.1074137697,57641756.563751,0.0,-36457725.51664795,5516117111.414145,29946158.381307174,5486170953.032838
2024-05-01,RELIFE,5516117111.414145,29946158.381307174,5486170953.032838,188172673.1369774,171173293.46660444,16999379.670372963,5.33223769463512e-13,0,17922064.32943946,7430042.45930049,138078.58564760129,10353943.284491368,0,-170250608.80753794,0.0,0.0,0,0.0,-177818729.85248604,0,138078.58564760129,44122091.93788362,0.0,-133558559.32895482,5382420473.499543,29808079.795659572,5352612393.703883
2024-06-01,RELIFE,5382420473.499543,29808079.795659572,5352612393.703883,185655031.06999436,168782234.01649314,16872797.053501226,5.332237694623641e-13,0,14059091.770423405,2820958.7390401997,54263.481480934475,11183869.54990227,0,-171595939.29957095,0.0,0.0,0,0.0,-174471161.5200921,0,54263.481480934475,25432708.803858455,0.0,-148984189.2347527,5233382020.783309,29753816.31417864,5203628204.4691305
2024-07-01,RELIFE,5233382020.783309,29753816.31417864,5203628204.4691305,180016091.0784058,163663391.78942627,16352699.288979542,5.331565177231071e-13,0,16728983.171807222,7038734.325914738,116852.27929514232,9573396.56659734,0,-163287107.90659857,0.0,0.0,0,0.0,-170442694.51180845,0,116852.27929514232,32148854.62000497,0.0,-138176987.61250833,5095088180.891505,29636964.034883495,5065451216.856622
2024-08-01,RELIFE,5095088180.891505,29636964.034883495,5065451216.856622,99577895.91971101,90822167.5637471,8755728.355963914,5.312825848553459e-13,0,21284510.595372405,9920897.252940623,195779.46384314113,11167833.878588641,0,-78293385.3243386,0.0,0.0,0,0.0,-88410062.04112236,0,195779.46384314113,60373173.66168892,0.0,-27841108.91559031,5067051292.512072,29441184.571040355,5037610107.941031
2024-09-01,RELIFE,5067051292.512072,29441184.57104035,5037610107.941031,51838010.560761854,47130359.04387748,4707651.516884371,5.31282584854185e-13,0,11198776.678983362,3066347.9642074285,53843.875033771415,8078584.839742162,0,-40639233.88177849,4015200.0,0.0,0,4015200.0,-39744225.72101969,0,53843.875033771415,31282107.35462002,0.0,-8408274.491365898,5058589174.145673,29387340.69600658,5029201833.449666
